audio_file_name,ai_utterance_duration_seconds
grade1_profile31205_q3_LP_20251122_101304.mp3,9.27
grade1_profile30481_q3_QK_20251122_101834.mp3,11.54
grade1_profile30596_q3_QK_20251122_101834.mp3,6.89
grade1_profile28401_q3_LP_20251122_101304.mp3,12.82
grade1_profile30684_q3_LP_20251122_101304.mp3,10.9
grade1_profile30695_q3_QK_20251122_101834.mp3,6.63
grade1_profile31205_q3_QK_20251122_101834.mp3,7.26
grade1_profile28466_q3_LP_20251122_101304.mp3,11.12
grade1_profile30506_q3_QK_20251122_101834.mp3,4.64
grade1_profile28392_q3_QK_20251122_101834.mp3,12.3
grade1_profile30575_q3_QK_20251122_101834.mp3,6.33
grade1_profile30490_q3_LP_20251122_101304.mp3,17.66
grade1_profile28466_q3_QK_20251122_101834.mp3,9.54
grade1_profile30476_q3_LP_20251122_101304.mp3,12.13
grade1_profile31207_q3_LP_20251122_101304.mp3,18.8
grade1_profile28446_q3_QK_20251122_101834.mp3,8.07
grade1_profile28443_q3_LP_20251122_101304.mp3,9.81
grade1_profile28381_q3_LP_20251122_101304.mp3,12.63
grade1_profile30467_q3_QK_20251122_101834.mp3,10.39
grade1_profile28444_q3_QK_20251122_101834.mp3,8.52
grade1_profile30840_q3_LP_20251122_101304.mp3,5.65
grade1_profile28355_q3_LP_20251122_101304.mp3,12.37
grade1_profile30482_q3_LP_20251122_101304.mp3,9.63
grade1_profile28468_q3_LP_20251122_101304.mp3,8.8
grade1_profile31204_q3_QK_20251122_101834.mp3,15.94
grade1_profile28519_q3_QK_20251122_101834.mp3,10.28
grade1_profile28441_q3_QK_20251122_101834.mp3,11.33
grade1_profile28352_q3_LP_20251122_101304.mp3,13.56
grade1_profile28514_q3_LP_20251122_101304.mp3,11.83
grade1_profile31284_q3_LP_20251122_101304.mp3,15.04
grade1_profile30544_q3_QK_20251122_101834.mp3,8.87
grade1_profile28444_q1_QK_20251122_095622.mp3,4.48
grade1_profile28363_q1_QK_20251122_095622.mp3,6.42
grade1_profile30467_q1_QK_20251122_095622.mp3,2.23
grade1_profile28355_q1_QK_20251122_095622.mp3,5.41
grade1_profile30589_q1_QK_20251122_095622.mp3,1.92
grade1_profile28485_q1_QK_20251122_095622.mp3,2.63
grade1_profile30467_q1_LP_20251122_095026.mp3,3.87
grade1_profile28432_q1_LP_20251122_095026.mp3,2.95
grade1_profile28469_q1_LP_20251122_095026.mp3,7.65
grade1_profile30485_q1_QK_20251122_095622.mp3,4.17
grade1_profile28463_q1_LP_20251122_095026.mp3,7.48
grade1_profile28514_q1_QK_20251122_095622.mp3,4.18
grade1_profile30823_q1_QK_20251122_095622.mp3,4.63
grade1_profile30596_q1_LP_20251122_095026.mp3,6.02
grade1_profile28510_q1_QK_20251122_095622.mp3,3.85
grade1_profile28391_q1_QK_20251122_095622.mp3,5.79
grade1_profile28390_q2_QK_20251122_100724.mp3,1.16
grade1_profile28450_q2_LP_20251122_100201.mp3,3.1
grade1_profile28510_q2_QK_20251122_100724.mp3,3.06
grade1_profile30626_q2_LP_20251122_100201.mp3,3.06
grade1_profile28471_q2_LP_20251122_100201.mp3,2.17
grade1_profile30581_q2_LP_20251122_100201.mp3,3.95
grade1_profile30941_q2_QK_20251122_100724.mp3,10.77
grade1_profile31184_q2_QK_20251122_100724.mp3,3.67
grade1_profile30581_q2_QK_20251122_100724.mp3,3.14
grade1_profile28443_q2_LP_20251122_100201.mp3,3.16
grade1_profile28469_q2_LP_20251122_100201.mp3,5.25
grade1_profile30569_q2_LP_20251122_100201.mp3,3.4
grade1_profile30485_q2_LP_20251122_100201.mp3,4.43
grade1_profile28381_q2_QK_20251122_100724.mp3,3.63
grade1_profile28431_q2_LP_20251122_100201.mp3,5.16
grade1_profile28355_q2_QK_20251122_100724.mp3,5.84
grade1_profile30695_q2_QK_20251122_100724.mp3,2.79
grade1_profile28371_q2_LP_20251122_100201.mp3,14.54
grade1_profile28444_q2_QK_20251122_100724.mp3,2.87
grade1_profile28369_q2_LP_20251122_100201.mp3,0.97
grade1_profile28516_q2_QK_20251122_100724.mp3,2.0
grade1_profile28438_q2_QK_20251122_100724.mp3,2.81
grade1_profile30693_q2_LP_20251122_100201.mp3,5.98
grade1_profile28347_q2_QK_20251122_100724.mp3,2.75
grade1_profile28465_q2_QK_20251122_100724.mp3,4.84
grade1_profile30485_q2_QK_20251122_100724.mp3,3.48
grade1_profile30840_q2_QK_20251122_100724.mp3,3.65
grade1_profile28399_q2_QK_20251122_100724.mp3,1.4
grade1_profile28385_q3_LP_20251122_101304.mp3,1.82
grade1_profile28349_q3_LP_20251122_101304.mp3,10.59
grade1_profile31293_q3_LP_20251122_101304.mp3,8.5
grade1_profile28470_q3_QK_20251122_101834.mp3,15.51
grade1_profile28457_q3_LP_20251122_101304.mp3,24.66
grade1_profile28359_q3_QK_20251122_101834.mp3,14.24
grade1_profile28390_q3_LP_20251122_101304.mp3,12.29
grade1_profile28347_q3_LP_20251122_101304.mp3,5.02
grade1_profile30589_q3_LP_20251122_101304.mp3,14.47
grade1_profile28450_q3_LP_20251122_101304.mp3,8.44
grade1_profile28510_q3_LP_20251122_101304.mp3,14.55
grade1_profile30496_q3_LP_20251122_101304.mp3,14.92
grade1_profile30472_q3_LP_20251122_101304.mp3,7.45
grade1_profile28389_q3_QK_20251122_101834.mp3,8.68
grade1_profile28463_q3_QK_20251122_101834.mp3,19.22
grade1_profile28381_q3_QK_20251122_101834.mp3,9.63
grade1_profile28369_q3_LP_20251122_101304.mp3,19.03
grade1_profile28387_q3_QK_20251122_101834.mp3,8.58
grade1_profile30665_q3_QK_20251122_101834.mp3,9.06
grade1_profile30695_q3_LP_20251122_101304.mp3,15.87
grade1_profile28485_q3_QK_20251122_101834.mp3,6.81
grade1_profile28456_q3_LP_20251122_101304.mp3,11.88
grade1_profile31192_q3_QK_20251122_101834.mp3,9.97
grade1_profile30633_q1_LP_20251122_095026.mp3,2.49
grade1_profile28485_q1_LP_20251122_095026.mp3,1.11
grade1_profile28385_q1_LP_20251122_095026.mp3,0.35
grade1_profile28395_q1_LP_20251122_095026.mp3,1.11
grade1_profile30581_q1_LP_20251122_095026.mp3,2.62
grade1_profile28355_q1_LP_20251122_095026.mp3,5.12
grade1_profile28387_q1_QK_20251122_095622.mp3,2.0
grade1_profile30840_q1_LP_20251122_095026.mp3,2.2
grade1_profile28493_q1_LP_20251122_095026.mp3,7.88
grade1_profile28470_q1_LP_20251122_095026.mp3,9.64
grade1_profile31205_q1_LP_20251122_095026.mp3,3.4
grade1_profile30490_q1_LP_20251122_095026.mp3,5.39
grade1_profile28438_q1_QK_20251122_095622.mp3,3.93
grade1_profile28385_q1_QK_20251122_095622.mp3,4.86
grade1_profile28347_q1_LP_20251122_095026.mp3,2.56
grade1_profile28395_q1_QK_20251122_095622.mp3,1.45
grade1_profile30633_q1_QK_20251122_095622.mp3,3.57
grade1_profile28448_q1_LP_20251122_095026.mp3,3.4
grade1_profile31361_q1_LP_20251122_095026.mp3,3.54
grade1_profile30684_q2_LP_20251122_100201.mp3,2.66
grade1_profile31361_q2_LP_20251122_100201.mp3,2.59
grade1_profile28349_q2_LP_20251122_100201.mp3,4.61
grade1_profile30575_q2_LP_20251122_100201.mp3,3.39
grade1_profile28456_q2_LP_20251122_100201.mp3,3.36
grade1_profile28514_q2_LP_20251122_100201.mp3,3.87
grade1_profile28471_q2_QK_20251122_100724.mp3,2.0
grade1_profile28450_q2_QK_20251122_100724.mp3,2.54
grade1_profile28388_q2_LP_20251122_100201.mp3,2.51
grade1_profile31293_q2_LP_20251122_100201.mp3,2.39
grade1_profile28473_q2_LP_20251122_100201.mp3,5.39
grade1_profile30840_q2_LP_20251122_100201.mp3,2.44
grade1_profile30633_q2_LP_20251122_100201.mp3,2.84
grade1_profile28389_q2_QK_20251122_100724.mp3,2.95
grade1_profile28512_q2_QK_20251122_100724.mp3,2.18
grade1_profile28347_q2_LP_20251122_100201.mp3,2.96
grade1_profile28468_q2_QK_20251122_100724.mp3,2.75
grade1_profile28441_q2_QK_20251122_100724.mp3,2.4
grade1_profile28463_q2_LP_20251122_100201.mp3,4.25
grade1_profile30472_q2_QK_20251122_100724.mp3,2.08
grade1_profile28466_q2_LP_20251122_100201.mp3,4.52
grade1_profile28465_q2_LP_20251122_100201.mp3,3.37
grade1_profile28451_q3_QK_20251122_101834.mp3,6.26
grade1_profile30823_q3_LP_20251122_101304.mp3,15.14
grade1_profile30586_q3_QK_20251122_101834.mp3,11.16
grade1_profile28474_q3_LP_20251122_101304.mp3,19.38
grade1_profile30630_q3_QK_20251122_101834.mp3,12.91
grade1_profile28388_q3_LP_20251122_101304.mp3,5.54
grade1_profile28417_q3_QK_20251122_101834.mp3,13.97
grade1_profile28391_q3_LP_20251122_101304.mp3,5.59
grade1_profile28512_q3_QK_20251122_101834.mp3,7.22
grade1_profile28428_q3_LP_20251122_101304.mp3,14.71
grade1_profile28498_q3_QK_20251122_101834.mp3,9.72
grade1_profile28519_q3_LP_20251122_101304.mp3,17.06
grade1_profile28429_q3_LP_20251122_101304.mp3,16.02
grade1_profile28363_q3_QK_20251122_101834.mp3,6.36
grade1_profile28395_q3_LP_20251122_101304.mp3,7.46
grade1_profile31203_q3_LP_20251122_101304.mp3,11.87
grade1_profile30633_q3_QK_20251122_101834.mp3,8.29
grade1_profile28509_q3_LP_20251122_101304.mp3,27.53
grade1_profile28350_q3_LP_20251122_101304.mp3,11.28
grade1_profile31361_q3_LP_20251122_101304.mp3,7.72
grade1_profile30941_q3_LP_20251122_101304.mp3,13.4
grade1_profile28444_q3_LP_20251122_101304.mp3,14.13
grade1_profile28510_q3_QK_20251122_101834.mp3,8.77
grade1_profile30506_q3_LP_20251122_101304.mp3,24.93
grade1_profile30482_q3_QK_20251122_101834.mp3,5.19
grade1_profile30693_q3_LP_20251122_101304.mp3,3.21
grade1_profile28465_q3_LP_20251122_101304.mp3,21.27
grade1_profile28376_q1_LP_20251122_095026.mp3,1.67
grade1_profile28391_q1_LP_20251122_095026.mp3,2.57
grade1_profile31184_q1_QK_20251122_095622.mp3,2.85
grade1_profile28382_q1_LP_20251122_095026.mp3,4.03
grade1_profile28376_q1_QK_20251122_095622.mp3,2.35
grade1_profile30630_q1_QK_20251122_095622.mp3,6.4
grade1_profile28468_q1_LP_20251122_095026.mp3,2.95
grade1_profile30581_q1_QK_20251122_095622.mp3,2.01
grade1_profile28498_q1_QK_20251122_095622.mp3,1.94
grade1_profile30482_q1_LP_20251122_095026.mp3,9.24
grade1_profile28347_q1_QK_20251122_095622.mp3,3.94
grade1_profile28392_q1_LP_20251122_095026.mp3,3.13
grade1_profile30575_q1_QK_20251122_095622.mp3,3.62
grade1_profile28443_q1_LP_20251122_095026.mp3,3.42
grade1_profile30476_q1_LP_20251122_095026.mp3,4.26
grade1_profile28465_q1_QK_20251122_095622.mp3,3.67
grade1_profile28344_q1_QK_20251122_095622.mp3,2.56
grade1_profile28389_q1_QK_20251122_095622.mp3,4.42
grade1_profile31293_q1_QK_20251122_095622.mp3,3.99
grade1_profile30569_q1_QK_20251122_095622.mp3,3.2
grade1_profile28465_q1_LP_20251122_095026.mp3,5.04
grade1_profile28518_q1_QK_20251122_095622.mp3,3.68
grade1_profile30485_q1_LP_20251122_095026.mp3,5.44
grade1_profile30481_q1_QK_20251122_095622.mp3,7.09
grade1_profile31192_q2_LP_20251122_100201.mp3,3.09
grade1_profile28371_q2_QK_20251122_100724.mp3,7.49
grade1_profile28390_q2_LP_20251122_100201.mp3,3.88
grade1_profile28428_q2_QK_20251122_100724.mp3,4.39
grade1_profile28443_q2_QK_20251122_100724.mp3,2.46
grade1_profile30472_q2_LP_20251122_100201.mp3,4.93
grade1_profile28399_q2_LP_20251122_100201.mp3,2.76
grade1_profile28428_q2_LP_20251122_100201.mp3,2.04
grade1_profile28369_q2_QK_20251122_100724.mp3,1.98
grade1_profile30586_q2_QK_20251122_100724.mp3,2.91
grade1_profile28382_q2_LP_20251122_100201.mp3,3.05
grade1_profile28510_q2_LP_20251122_100201.mp3,9.7
grade1_profile30490_q2_QK_20251122_100724.mp3,3.69
grade1_profile28352_q2_LP_20251122_100201.mp3,3.89
grade1_profile30569_q2_QK_20251122_100724.mp3,2.29
grade1_profile28519_q2_LP_20251122_100201.mp3,5.17
grade1_profile28401_q2_LP_20251122_100201.mp3,4.81
grade1_profile30822_q2_QK_20251122_100724.mp3,2.7
grade1_profile28423_q2_LP_20251122_100201.mp3,3.67
grade1_profile30496_q2_QK_20251122_100724.mp3,2.17
grade1_profile28392_q2_LP_20251122_100201.mp3,2.51
grade1_profile30626_q2_QK_20251122_100724.mp3,3.02
grade1_profile28352_q2_QK_20251122_100724.mp3,3.83
grade1_profile28463_q2_QK_20251122_100724.mp3,3.41
grade1_profile28457_q2_QK_20251122_100724.mp3,1.29
grade1_profile31192_q3_LP_20251122_101304.mp3,3.13
grade1_profile28345_q3_QK_20251122_101834.mp3,6.64
grade1_profile28355_q3_QK_20251122_101834.mp3,12.85
grade1_profile28398_q3_QK_20251122_101834.mp3,4.67
grade1_profile28421_q3_LP_20251122_101304.mp3,11.82
grade1_profile28431_q3_LP_20251122_101304.mp3,3.47
grade1_profile28359_q3_LP_20251122_101304.mp3,6.87
grade1_profile28395_q3_QK_20251122_101834.mp3,9.15
grade1_profile28349_q3_QK_20251122_101834.mp3,8.55
grade1_profile30586_q3_LP_20251122_101304.mp3,9.45
grade1_profile28375_q3_LP_20251122_101304.mp3,10.56
grade1_profile31204_q3_LP_20251122_101304.mp3,24.39
grade1_profile28473_q3_QK_20251122_101834.mp3,5.71
grade1_profile30490_q3_QK_20251122_101834.mp3,8.45
grade1_profile30626_q3_LP_20251122_101304.mp3,6.61
grade1_profile28423_q3_QK_20251122_101834.mp3,8.9
grade1_profile28375_q3_QK_20251122_101834.mp3,8.66
grade1_profile28516_q3_QK_20251122_101834.mp3,5.87
grade1_profile28519_q1_LP_20251122_095026.mp3,4.29
grade1_profile28516_q2_LP_20251122_100201.mp3,2.57
grade1_profile30665_q2_LP_20251122_100201.mp3,2.62
grade1_profile28425_q2_LP_20251122_100201.mp3,3.32
grade1_profile28362_q2_QK_20251122_100724.mp3,3.17
grade1_profile28401_q2_QK_20251122_100724.mp3,3.37
grade1_profile28498_q3_LP_20251122_101304.mp3,13.35
grade1_profile28425_q3_QK_20251122_101834.mp3,7.75
grade1_profile28474_q3_QK_20251122_101834.mp3,6.16
grade1_profile30581_q3_QK_20251122_101834.mp3,7.57
grade1_profile28471_q3_QK_20251122_101834.mp3,7.64
grade1_profile30822_q3_LP_20251122_101304.mp3,16.07
grade1_profile28417_q3_LP_20251122_101304.mp3,24.45
grade1_profile28485_q3_LP_20251122_101304.mp3,12.66
grade1_profile28359_q1_LP_20251122_095026.mp3,4.19
grade1_profile28519_q1_QK_20251122_095622.mp3,4.03
grade1_profile28398_q1_QK_20251122_095622.mp3,2.84
grade1_profile30472_q1_LP_20251122_095026.mp3,5.34
grade1_profile28388_q1_QK_20251122_095622.mp3,6.52
grade1_profile28376_q2_QK_20251122_100724.mp3,2.76
grade1_profile28355_q2_LP_20251122_100201.mp3,5.03
grade1_profile28431_q2_QK_20251122_100724.mp3,2.49
grade1_profile30630_q2_LP_20251122_100201.mp3,3.55
grade1_profile28466_q2_QK_20251122_100724.mp3,2.68
grade1_profile30482_q2_QK_20251122_100724.mp3,2.18
grade1_profile28350_q3_QK_20251122_101834.mp3,9.32
grade1_profile30823_q3_QK_20251122_101834.mp3,12.51
grade1_profile28451_q3_LP_20251122_101304.mp3,11.54
grade1_profile30485_q3_LP_20251122_101304.mp3,11.82
grade1_profile28363_q3_LP_20251122_101304.mp3,19.07
grade1_profile28438_q3_LP_20251122_101304.mp3,14.47
grade1_profile28369_q1_QK_20251122_095622.mp3,2.33
grade1_profile30822_q1_QK_20251122_095622.mp3,2.61
grade1_profile30482_q1_QK_20251122_095622.mp3,2.95
grade1_profile28363_q1_LP_20251122_095026.mp3,4.65
grade1_profile31184_q1_LP_20251122_095026.mp3,3.85
grade1_profile28475_q1_QK_20251122_095622.mp3,3.88
grade1_profile28466_q1_LP_20251122_095026.mp3,4.45
grade1_profile30684_q1_LP_20251122_095026.mp3,2.71
grade1_profile28456_q1_LP_20251122_095026.mp3,6.7
grade1_profile28457_q1_QK_20251122_095622.mp3,1.45
grade1_profile28512_q1_LP_20251122_095026.mp3,5.28
grade1_profile28470_q1_QK_20251122_095622.mp3,3.89
grade1_profile31284_q1_QK_20251122_095622.mp3,6.72
grade1_profile28402_q1_LP_20251122_095026.mp3,6.85
grade1_profile28417_q1_LP_20251122_095026.mp3,6.39
grade1_profile31207_q1_LP_20251122_095026.mp3,5.32
grade1_profile28510_q1_LP_20251122_095026.mp3,10.06
grade1_profile28471_q1_LP_20251122_095026.mp3,3.3
grade1_profile31293_q1_LP_20251122_095026.mp3,3.97
grade1_profile30941_q1_QK_20251122_095622.mp3,6.48
grade1_profile28441_q1_QK_20251122_095622.mp3,4.44
grade1_profile30630_q1_LP_20251122_095026.mp3,5.08
grade1_profile30586_q1_QK_20251122_095622.mp3,2.57
grade1_profile28375_q2_QK_20251122_100724.mp3,3.05
grade1_profile30596_q2_QK_20251122_100724.mp3,2.65
grade1_profile28470_q2_QK_20251122_100724.mp3,5.6
grade1_profile30695_q2_LP_20251122_100201.mp3,3.29
grade1_profile28446_q2_QK_20251122_100724.mp3,2.05
grade1_profile28382_q2_QK_20251122_100724.mp3,2.89
grade1_profile28468_q2_LP_20251122_100201.mp3,3.25
grade1_profile28485_q2_LP_20251122_100201.mp3,0.56
grade1_profile28438_q2_LP_20251122_100201.mp3,5.11
grade1_profile28403_q2_LP_20251122_100201.mp3,5.27
grade1_profile28473_q2_QK_20251122_100724.mp3,2.35
grade1_profile28518_q2_QK_20251122_100724.mp3,2.63
grade1_profile28512_q2_LP_20251122_100201.mp3,4.01
grade1_profile28474_q2_LP_20251122_100201.mp3,4.17
grade1_profile28345_q2_LP_20251122_100201.mp3,2.05
grade1_profile28429_q3_QK_20251122_101834.mp3,8.26
grade1_profile28423_q3_LP_20251122_101304.mp3,8.57
grade1_profile30467_q3_LP_20251122_101304.mp3,18.5
grade1_profile30544_q3_LP_20251122_101304.mp3,14.26
grade1_profile28403_q3_QK_20251122_101834.mp3,12.19
grade1_profile28473_q3_LP_20251122_101304.mp3,13.88
grade1_profile28362_q3_LP_20251122_101304.mp3,12.11
grade1_profile28514_q3_QK_20251122_101834.mp3,12.08
grade1_profile30581_q3_LP_20251122_101304.mp3,9.62
grade1_profile28421_q3_QK_20251122_101834.mp3,10.61
grade1_profile30569_q3_QK_20251122_101834.mp3,5.03
grade1_profile28347_q3_QK_20251122_101834.mp3,6.55
grade1_profile28362_q3_QK_20251122_101834.mp3,8.35
grade1_profile28344_q3_QK_20251122_101834.mp3,4.12
grade1_profile28469_q3_QK_20251122_101834.mp3,7.1
grade1_profile30481_q3_LP_20251122_101304.mp3,20.31
grade1_profile28402_q3_LP_20251122_101304.mp3,13.4
grade1_profile30496_q3_QK_20251122_101834.mp3,5.1
grade1_profile28382_q1_QK_20251122_095622.mp3,3.21
grade1_profile30822_q1_LP_20251122_095026.mp3,5.27
grade1_profile28401_q1_LP_20251122_095026.mp3,4.0
grade1_profile31192_q1_QK_20251122_095622.mp3,4.49
grade1_profile30626_q1_LP_20251122_095026.mp3,2.87
grade1_profile28369_q1_LP_20251122_095026.mp3,0.73
grade1_profile28448_q1_QK_20251122_095622.mp3,2.99
grade1_profile30596_q1_QK_20251122_095622.mp3,3.06
grade1_profile28469_q1_QK_20251122_095622.mp3,2.93
grade1_profile28446_q1_LP_20251122_095026.mp3,4.65
grade1_profile28349_q1_LP_20251122_095026.mp3,5.43
grade1_profile28463_q1_QK_20251122_095622.mp3,2.82
grade1_profile28493_q1_QK_20251122_095622.mp3,2.16
grade1_profile28429_q1_QK_20251122_095622.mp3,4.15
grade1_profile28474_q1_LP_20251122_095026.mp3,5.41
grade1_profile28364_q1_LP_20251122_095026.mp3,2.77
grade1_profile30695_q1_LP_20251122_095026.mp3,7.58
grade1_profile28390_q1_LP_20251122_095026.mp3,5.25
grade1_profile31206_q1_LP_20251122_095026.mp3,6.48
grade1_profile30626_q1_QK_20251122_095622.mp3,3.26
grade1_profile30665_q1_QK_20251122_095622.mp3,2.79
grade1_profile28421_q1_QK_20251122_095622.mp3,2.9
grade1_profile28389_q1_LP_20251122_095026.mp3,6.93
grade1_profile31203_q2_LP_20251122_100201.mp3,4.11
grade1_profile28417_q2_LP_20251122_100201.mp3,4.59
grade1_profile28425_q2_QK_20251122_100724.mp3,3.58
grade1_profile30544_q2_LP_20251122_100201.mp3,5.33
grade1_profile28389_q2_LP_20251122_100201.mp3,3.63
grade1_profile28345_q2_QK_20251122_100724.mp3,2.71
grade1_profile28446_q2_LP_20251122_100201.mp3,3.19
grade1_profile28362_q2_LP_20251122_100201.mp3,3.91
grade1_profile28470_q2_LP_20251122_100201.mp3,7.6
grade1_profile28498_q2_QK_20251122_100724.mp3,1.99
grade1_profile28421_q2_LP_20251122_100201.mp3,3.12
grade1_profile28432_q2_QK_20251122_100724.mp3,2.03
grade1_profile28375_q2_LP_20251122_100201.mp3,4.72
grade1_profile30506_q2_LP_20251122_100201.mp3,2.88
grade1_profile28519_q2_QK_20251122_100724.mp3,3.98
grade1_profile28432_q2_LP_20251122_100201.mp3,3.23
grade1_profile30506_q2_QK_20251122_100724.mp3,3.41
